energy,sigma
0.00341951,0.000780216
0.00351926,0.000760851
0.00361236,0.000748137
0.00367886,0.000743215
0.00371264,0.000742564
0.00376126,0.000744593
0.00380192,0.000750156
0.00383735,0.000758711
0.00387224,0.000771783
0.00389678,0.000784772
0.00392376,0.00080396
0.00394187,0.000820584
0.00396147,0.000842998
0.003977,0.000864911
0.00399141,0.000889403
0.00400637,0.000920104
0.00402134,0.000957608
0.00403131,0.000987314
0.00404189,0.00102396
0.00405246,0.00106677
0.00406174,0.0011107
0.00407101,0.00116204
0.00407976,0.00121857
0.00408632,0.00126733
0.00409316,0.00132477
0.00410014,0.00139179
0.00410712,0.00146917
0.00411178,0.00152747
0.00411643,0.0015921
0.00412109,0.00166393
0.00412574,0.00174406
0.00413056,0.0018372
0.00413538,0.00194245
0.00414021,0.00206217
0.00414382,0.00216246
0.00414727,0.00226831
0.00415064,0.00238267
0.004154,0.00250923
0.00415737,0.00264985
0.00416074,0.00280668
0.00416415,0.00298462
0.00416764,0.00319027
0.00416996,0.00334257
0.00417229,0.00350874
0.00417462,0.00369046
0.00417695,0.00388953
0.00417927,0.00410817
0.0041816,0.00434951
0.0041841,0.0046373
0.00418659,0.00495977
0.00418908,0.00532254
0.00419075,0.00559015
0.00419241,0.00588118
0.00419407,0.00619845
0.00419565,0.00652712
0.00419715,0.00686595
0.00419864,0.00723471
0.00420014,0.00763704
0.00420164,0.00807714
0.00420313,0.0085599
0.00420463,0.00909104
0.00420612,0.00967725
0.00420741,0.0102322
0.00420903,0.0110058
0.00421011,0.0115745
0.00421119,0.0121911
0.00421228,0.012861
0.00421336,0.0135906
0.00421444,0.0143874
0.00421552,0.01526
0.00421676,0.0163746
0.00421801,0.0176225
0.00421884,0.0185393
0.00421967,0.0195328
0.0042205,0.0206117
0.00422134,0.0217863
0.00422217,0.0230681
0.00422292,0.0243247
0.00422366,0.0256907
0.00422441,0.0271791
0.00422516,0.0288053
0.00422591,0.030587
0.00422666,0.0325449
0.0042274,0.0347033
0.00422815,0.0370907
0.00422873,0.0391277
0.00422932,0.0413424
0.0042299,0.0437567
0.00423048,0.0463956
0.00423106,0.0492886
0.00423164,0.0524702
0.00423223,0.0559812
0.00423281,0.0598702
0.00423343,0.0645228
0.00423385,0.0679448
0.00423426,0.0716582
0.00423468,0.0756983
0.00423509,0.0801062
0.00423551,0.08493
0.00423592,0.0902266
0.00423632,0.0957577
0.00423669,0.10151
0.00423707,0.107832
0.00423744,0.114809
0.00423782,0.122544
0.00423819,0.131164
0.00423847,0.138305
0.00423875,0.146116
0.00423903,0.154698
0.00423927,0.162707
0.00423956,0.173467
0.00423985,0.185527
0.00424007,0.195578
0.00424029,0.206634
0.00424051,0.218855
0.00424072,0.232428
0.00424094,0.247578
0.00424116,0.264573
0.00424138,0.283734
0.00424157,0.302384
0.00424174,0.321547
0.00424192,0.342843
0.00424209,0.366574
0.00424227,0.393071
0.00424244,0.422717
0.00424262,0.455936
0.00424273,0.4803
0.00424285,0.506614
0.00424297,0.535048
0.00424308,0.565772
0.0042432,0.598975
0.00424331,0.634853
0.00424345,0.680869
0.00424359,0.731252
0.00424373,0.786394
0.00424386,0.846695
0.004244,0.912584
0.00424414,0.984496
0.00424427,1.06289
0.00424441,1.14822
0.00424455,1.24099
0.00424469,1.34164
0.00424478,1.41337
0.00424493,1.53915
0.00424508,1.67588
0.00424523,1.82414
0.00424538,1.98446
0.00424553,2.15735
0.00424567,2.34324
0.00424582,2.54251
0.00424597,2.75539
0.00424615,3.02127
0.00424632,3.306
0.0042465,3.60945
0.00424667,3.93118
0.0042469,4.38729
