energy,sigma
0.00862458,0.0089182
0.00863642,0.00830591
0.00864825,0.0077579
0.00866009,0.00726531
0.00867192,0.00682114
0.00868376,0.0064191
0.00869559,0.00605419
0.00870743,0.00572188
0.00871926,0.00541851
0.0087311,0.00514074
0.00874392,0.00486576
0.00876365,0.00448891
0.00877844,0.00423642
0.00879225,0.00402177
0.00880605,0.00382523
0.00881986,0.00364469
0.00883367,0.00347853
0.00884846,0.00331474
0.00886326,0.0031641
0.00888545,0.0029602
0.00890764,0.00277829
0.00892983,0.00261641
0.00895202,0.00247087
0.00897175,0.00235399
0.00899147,0.00224714
0.0090112,0.00214931
0.00903092,0.00205949
0.00906051,0.0019383
0.0090901,0.00183016
0.00911968,0.00173432
0.00914927,0.00164808
0.00917886,0.00157097
0.00920845,0.00150106
0.0092479,0.00141823
0.00928735,0.00134527
0.0093268,0.00128067
0.00936625,0.00122319
0.0094057,0.00117236
0.00944515,0.00112615
0.0094846,0.00108451
0.00952405,0.00104683
0.00958323,0.00099645
0.0096424,0.000953022
0.00970158,0.000914533
0.00978018,0.000870514
0.00985938,0.000832882
0.00995193,0.00079551
0.0100404,0.000764927
0.0101466,0.000733726
0.0102552,0.000706685
0.010365,0.00068345
0.0105115,0.000657079
0.0106579,0.00063502
0.0108409,0.000611962
0.0110605,0.000589943
0.0113168,0.000569258
0.0116096,0.000550106
0.011939,0.000533173
0.0123783,0.000515194
0.0127695,0.000502219
0.0133406,0.000487462
0.0139934,0.000474055
0.0148093,0.00046173
0.015462,0.000454665
0.0164411,0.000447648
0.0170938,0.000445696
0.0174202,0.00044563
0.0179913,0.000447366
0.0186441,0.000452485
0.0192152,0.000460219
0.0196232,0.000468441
0.0200311,0.000479854
0.0204187,0.0004942
0.0207246,0.000508503
0.0210306,0.000526425
0.0212754,0.000543909
0.0215079,0.000563809
0.0217205,0.000585505
0.021924,0.000610221
0.0220546,0.000628552
0.0222504,0.000660295
0.0224136,0.000691561
0.0225767,0.00072797
0.0227073,0.000761756
0.0228378,0.000800492
0.0229684,0.000845151
0.0230663,0.000883451
0.0231642,0.00092604
0.0232621,0.000974508
0.02336,0.00102887
0.0234253,0.00106942
0.0234906,0.00111372
0.0235558,0.00116223
0.0236211,0.00121551
0.0236864,0.00127418
0.0237517,0.00133899
0.0238169,0.0014108
0.0238822,0.00149058
0.0239434,0.00157404
0.0240046,0.00166631
0.0240666,0.00177152
0.024109,0.00185052
0.0241564,0.001947
0.0242086,0.00206256
0.024251,0.00216729
0.0243,0.00229937
0.0243522,0.00245681
0.0243913,0.00258767
0.0244305,0.00273032
0.0244697,0.00288715
0.0245088,0.00305895
0.024548,0.00324884
0.0245872,0.00345794
0.0246263,0.00369042
0.0246655,0.00394787
0.0247046,0.00423595
0.0247308,0.00444628
0.0247569,0.00467326
0.024783,0.00491855
0.0248091,0.00518404
0.0248352,0.00547184
0.0248613,0.00578431
0.0248874,0.0061241
0.0249135,0.00649416
0.0249396,0.0068978
0.0249657,0.0073387
0.0249918,0.00781729
0.025018,0.0083451
0.0250441,0.00892385
0.0250702,0.00955902
0.0250963,0.0102566
0.0251224,0.0110228
0.0251485,0.0118645
0.0251746,0.0127881
0.0252007,0.0138003
0.0252268,0.0149066
0.0252529,0.0161112
0.025279,0.0174159
0.0253052,0.0188258
0.0253313,0.0203175
0.0253704,0.0226854
0.0254259,0.0261313
0.0254553,0.0278578
0.0254879,0.0295601
0.0255075,0.0304077
0.0255271,0.031089
0.0255467,0.0315794
0.0255653,0.0318483
0.0255819,0.0319254
0.0256035,0.0317706
0.0256196,0.031483
0.025638,0.0309818
0.0256576,0.0302667
0.0256772,0.0293903
0.0257033,0.0280199
0.02574,0.0258396
0.0258143,0.021214
0.0258404,0.0196601
0.0258665,0.0181899
0.0258926,0.0168145
0.0259187,0.0155394
0.0259448,0.0143652
0.0259709,0.0132891
0.025997,0.0123062
0.0260232,0.0114104
0.0260493,0.0105951
0.0260754,0.0098533
0.0261015,0.00917849
0.0261276,0.00856434
0.0261537,0.00800497
0.0261798,0.00749499
0.0262059,0.00702948
0.026232,0.00660399
0.0262581,0.00621454
0.0262842,0.00585753
0.0263104,0.00552977
0.0263365,0.00522838
0.0263626,0.00495082
0.0263887,0.00469479
0.0264148,0.00445827
0.0264409,0.00423943
0.0264801,0.00394131
0.0265192,0.0036736
0.0265584,0.00343407
0.0265976,0.00321767
0.0266367,0.00302285
0.0266759,0.00284588
0.026715,0.00268566
0.0267542,0.00253938
0.0267934,0.00240627
0.0268325,0.0022842
0.026875,0.00216402
0.0269239,0.00203778
0.0269761,0.00191707
0.0270284,0.00180855
0.0270708,0.00172845
0.0271132,0.0016549
0.0271744,0.0015595
0.0272356,0.00147453
0.0272927,0.00140475
0.0273417,0.00135148
0.0273906,0.00130478
0.0274396,0.00126464
0.0274885,0.00123312
0.0275212,0.001218
0.0275538,0.0012088
0.0275701,0.00120782
0.0275946,0.00121213
0.027613,0.00122148
0.0276313,0.00123811
0.0276436,0.00125441
0.0276558,0.001277
0.027668,0.0013075
0.0276793,0.00134472
0.0276877,0.0013802
0.0276961,0.00142401
0.0277045,0.00147899
0.0277101,0.00152353
0.0277167,0.00158638
0.0277225,0.00165188
0.0277282,0.00173032
0.027732,0.00179146
0.0277359,0.00186119
0.0277397,0.00194122
0.0277435,0.00203362
0.0277473,0.00214096
0.0277499,0.00222243
0.0277524,0.00231319
0.027755,0.00241471
0.0277575,0.00252872
0.0277601,0.00265736
0.0277626,0.00280319
0.0277649,0.00294741
0.0277668,0.00308543
0.0277687,0.00323883
0.0277706,0.00341001
0.0277725,0.00360185
0.0277744,0.00381791
0.0277763,0.0040625
0.0277778,0.00426786
0.0277792,0.00449499
0.0277805,0.00471783
0.0277817,0.00496317
0.027783,0.00523425
0.0277843,0.00553489
0.0277856,0.00586975
0.0277868,0.00624439
0.0277881,0.00666573
0.0277891,0.00701743
0.0277899,0.00735069
0.0277909,0.00780239
0.0277919,0.00830708
0.027793,0.00887411
0.0277937,0.00934727
0.0277945,0.00986811
0.0277953,0.010444
0.027796,0.0110838
0.0277968,0.0117982
0.0277976,0.0126003
0.0277983,0.0134545
0.0277988,0.014166
0.0277994,0.0149476
0.0277999,0.0158089
0.0278005,0.016761
0.027801,0.0178172
0.0278015,0.0189919
0.0278021,0.0203023
0.0278026,0.0217675
0.0278032,0.0234098
0.0278036,0.0249561
0.027804,0.0265013
0.0278045,0.0281927
0.0278049,0.0300464
0.0278053,0.0320767
0.0278057,0.0343013
0.0278061,0.0367377
0.0278065,0.0394055
0.027807,0.0423233
0.0278074,0.0455122
0.0278078,0.0489916
0.0278082,0.0529225
0.0278087,0.0572108
0.0278091,0.0618808
0.0278095,0.0669531
0.02781,0.0724514
0.0278104,0.0783917
0.0278108,0.0847928
0.0278112,0.091666
0.0278118,0.100425
0.0278123,0.109866
0.0278128,0.119992
0.0278133,0.130785
0.027814,0.14617
0.0278145,0.159651
0.0278154,0.181015
0.0278164,0.209497
0.027818,0.252256
0.0278188,0.272855
0.0278196,0.29215
0.0278203,0.307201
0.0278209,0.32049
0.0278215,0.330412
0.0278221,0.338527
0.0278227,0.344624
0.0278233,0.348606
0.0278238,0.350529
0.0278241,0.350711
0.0278246,0.34981
0.0278251,0.347102
0.0278257,0.342702
0.0278262,0.336663
0.0278269,0.32647
0.0278276,0.314208
0.0278282,0.300012
0.0278289,0.284232
0.0278296,0.265783
0.027831,0.228065
0.0278324,0.191547
0.0278332,0.171071
0.0278337,0.157079
0.0278343,0.14373
0.0278349,0.131104
0.0278354,0.120128
0.0278359,0.109846
0.0278364,0.100267
0.0278369,0.0913945
0.0278375,0.0832177
0.0278378,0.0776717
0.0278382,0.0720381
0.0278387,0.0668081
0.0278391,0.0619649
0.0278395,0.0574898
0.0278399,0.0533636
0.0278403,0.0495665
0.0278407,0.0460781
0.0278411,0.0433698
0.0278415,0.0403355
0.0278419,0.0375624
0.0278423,0.0350312
0.0278428,0.0327216
0.0278432,0.0306157
0.0278436,0.0286941
0.027844,0.0269421
0.0278444,0.0253433
0.0278449,0.0238838
0.0278453,0.0225501
0.0278458,0.0211372
0.0278463,0.0197753
0.0278468,0.0185527
0.0278473,0.0174516
0.0278479,0.016458
0.0278484,0.0155583
0.0278489,0.0147414
0.0278495,0.0139974
0.02785,0.0133177
0.0278507,0.0124989
0.0278513,0.01188
0.027852,0.011202
0.0278527,0.0105907
0.0278534,0.0100369
0.0278539,0.00969601
0.0278548,0.00907329
0.0278558,0.00851886
0.0278567,0.00802249
0.0278577,0.00757575
0.0278586,0.00717188
0.0278596,0.00679544
0.0278606,0.00645331
0.0278619,0.00604322
0.0278632,0.00567835
0.0278645,0.00535206
0.0278658,0.0050589
0.0278671,0.00479443
0.0278684,0.00455491
0.0278699,0.00430103
0.0278716,0.00404104
0.0278734,0.00381013
0.0278751,0.00360403
0.0278769,0.00341924
0.0278787,0.00325287
0.0278804,0.00310252
0.0278822,0.00296616
0.0278844,0.00280704
0.0278866,0.0026759
0.0278887,0.00255777
0.0278915,0.00241758
0.0278943,0.0022942
